RegionID,Provider,SuccessRatePct,MedianErrorM,P90ErrorM,Frames,Success
1,esri,74.7858017135863,19.4593204,38.1718588,817,611
2,google,66.1998132586368,15.2164566,31.89497718,1071,709
3,google,100.0,17.7222692,29.38624185,768,768
4,google,100.0,31.35258855,56.612648170000014,738,738
5,google,64.90486257928119,23.9695147,48.16650888000002,473,307
6,google,70.05813953488372,20.6422927,364.6796233,344,241
7,esri,0.0,,,30,0
8,google,65.92449177153921,17.5917242,32.3478415,1033,681
9,google,90.33942558746736,19.46925695,33.73278277,766,692
10,esri,28.47222222222222,19.1101728,32.5088301,144,41
11,google,98.80952380952381,24.6546427,51.2619613,588,581
