Experiment,RegionID,Provider,Zoom,Matcher,Frames,Success,SuccessRatePct,MeanErrorM,MedianErrorM,P90ErrorM,MeanInliers,MeanMatchTimeS
Changjiang_20_01_zoom_18_esri,1,esri,18,minima,817,611,74.7858017135863,21.71943566121113,19.4593204,38.1718588,293.11292962356794,0.04736489277845777
Changjiang_20_01_zoom_18_google,1,google,18,minima,817,600,73.43941248470013,21.193238758499998,19.05201735,37.98603491,328.2783333333333,0.04661576046511628
Changjiang_23_02_zoom_18_esri,2,esri,18,minima,1071,703,65.63958916900093,17.293979890327172,15.3000975,32.39590380000003,255.94310099573258,0.03810121241830065
Changjiang_23_02_zoom_18_google,2,google,18,minima,1071,709,66.1998132586368,17.330268579689704,15.2164566,31.89497718,280.75599435825103,0.038498528664799254
Taizhou_1_03_zoom_18_esri,3,esri,18,minima,768,756,98.4375,18.535236939814812,17.72158375,29.432335199999997,349.4378306878307,0.060154092578125005
Taizhou_1_03_zoom_18_google,3,google,18,minima,768,768,100.0,18.489060459765625,17.7222692,29.38624185,388.0872395833333,0.060688691015625
Taizhou_6_04_zoom_18_esri,4,esri,18,minima,738,736,99.7289972899729,33.19166375733696,31.3600293,56.86041655,300.1902173913044,0.05674690027100271
Taizhou_6_04_zoom_18_google,4,google,18,minima,738,738,100.0,33.40368966246612,31.35258855,56.612648170000014,351.62330623306235,0.05662013590785908
Yunnan_05_zoom_17_esri,5,esri,17,minima,473,235,49.68287526427061,26.973827118723406,23.6104482,47.73500787999999,181.82553191489362,0.030770302114164903
Yunnan_05_zoom_17_google,5,google,17,minima,473,307,64.90486257928119,26.92272225830619,23.9695147,48.16650888000002,216.27361563517914,0.039643928118393235
Zhuxi_06_zoom_17_esri,6,esri,17,minima,344,166,48.25581395348837,89.35484463614459,20.5574306,358.86895519999996,162.14457831325302,0.029278656104651166
Zhuxi_06_zoom_17_google,6,google,17,minima,344,241,70.05813953488372,97.38938758755187,20.6422927,364.6796233,188.0,0.04167867093023256
Donghuayuan_07_zoom_17_esri,7,esri,17,minima,30,0,0.0,,,,,0.0
Donghuayuan_07_zoom_17_google,7,google,17,minima,30,0,0.0,,,,,0.0
Huzhou_3_08_zoom_18_esri,8,esri,18,minima,1033,673,65.15004840271055,19.02011620208024,17.3644447,32.73541704,267.4591381872214,0.039910692255566316
Huzhou_3_08_zoom_18_google,8,google,18,minima,1033,681,65.92449177153921,18.995669637885463,17.5917242,32.3478415,265.90014684287814,0.04081614627299129
Huzhou_3_09_zoom_18_esri,9,esri,18,minima,766,676,88.25065274151436,20.96426982470414,19.7404753,33.8597935,219.75887573964496,0.0579231638381201
Huzhou_3_09_zoom_18_google,9,google,18,minima,766,692,90.33942558746736,20.9138371367052,19.46925695,33.73278277,242.79768786127167,0.0584978225848564
Huailai_10_zoom_17_esri,10,esri,17,minima,144,41,28.47222222222222,19.207928114634147,19.1101728,32.5088301,101.29268292682927,0.016574552083333336
Huailai_10_zoom_17_google,10,google,17,minima,144,38,26.38888888888889,19.70988502894737,19.3635069,30.85634577,105.07894736842105,0.01567846388888889
Shandan_11_zoom_16_esri,11,esri,16,minima,588,570,96.93877551020408,27.649259081754387,24.4100495,51.44039783,306.0859649122807,0.05597187942176871
Shandan_11_zoom_16_google,11,google,16,minima,588,581,98.80952380952381,27.84962045765921,24.6546427,51.2619613,312.7779690189329,0.05639384523809524
